created_at,text,url,replies,retweets,favorites,user,bioguide_id,party,state
10/13/17 1:03,Some say football��s a man's world��_ but @Michele_Tafoya thrives in it! Good story on MN reporter��s great work: https://t.co/D1RCAXv14p,https://twitter.com/amyklobuchar/status/918643241511202816,9,35,185,amyklobuchar,K000367,D,MN
10/12/17 20:07,"Google, Facebook &amp; Twitter paid political ads are seen by millions of people. It's time the laws match that reality. https://t.co/78MbUpdbMV",https://twitter.com/amyklobuchar/status/918568723476303872,19,95,280,amyklobuchar,K000367,D,MN
10/12/17 14:49,POTUS A.M. Mean tweets completely contrary to Pence &amp; GOP pledges! Trump threatens to abandon Puerto Rico recovery https://t.co/827sUA6ly6,https://twitter.com/amyklobuchar/status/918488811751002113,75,195,404,amyklobuchar,K000367,D,MN
10/12/17 1:18,Congrats to incredible MN mom Kate Swenson &amp; her son Cooper who won @jimmyfallon��s ���Everything is Mama�� contest: https://t.co/fkH5yegg2Z,https://twitter.com/amyklobuchar/status/918284644923183104,4,59,274,amyklobuchar,K000367,D,MN
10/11/17 22:21,I urged DHS to ensure our election systems don��t use Kaspersky software. Here��s more proof that must happen: https://t.co/EjuEMwGcIc,https://twitter.com/amyklobuchar/status/918240196566638593,15,128,303,amyklobuchar,K000367,D,MN
10/11/17 21:00,These pictures show the ruin like words can't: Seen From Above: Entire Neighborhoods Reduced to Ash  https://t.co/0nAmaSqmVL,https://twitter.com/amyklobuchar/status/918219795794878464,21,50,107,amyklobuchar,K000367,D,MN
10/11/17 19:55,Today's #internationaldayofthegirl. Let��s strive to lift up the girls (and women!) in our communities and lives today and every day!,https://twitter.com/amyklobuchar/status/918203443927486465,7,109,473,amyklobuchar,K000367,D,MN
10/11/17 18:15,My sodsaver bill with @SenJohnThune would extend program &amp; save taxpayers $52 million over 10 yrs. https://t.co/mPXpdz8T4h,https://twitter.com/amyklobuchar/status/918178288106921985,3,23,83,amyklobuchar,K000367,D,MN
10/11/17 2:48,cool story...Somali girls make history on St. Cloud swim team https://t.co/fsGGLIF0SR,https://twitter.com/amyklobuchar/status/917944948023947264,22,149,761,amyklobuchar,K000367,D,MN
10/10/17 22:58,Kicking off ���Best Minnesota Fall Photo�� contest. Submit by 10/23 &amp; your picture could be my new Facebook cover photo https://t.co/pCLCVLa0L7,https://twitter.com/amyklobuchar/status/917887176649723905,6,20,63,amyklobuchar,K000367,D,MN
10/10/17 18:28,We can't step back on biofuels. @ChuckGrassley &amp; I are leading the push for a strong 2018 Renewable Fuel Standard. https://t.co/KMiOxIEaQO,https://twitter.com/amyklobuchar/status/917819186109284352,16,41,167,amyklobuchar,K000367,D,MN
10/10/17 3:40,Way to go @Vikings! I was having bad memories of end-of-game Vikings field goals (like the playoff game) but you proved me wrong! Good game.,https://twitter.com/amyklobuchar/status/917595597837885440,20,31,472,amyklobuchar,K000367,D,MN
10/10/17 3:19,OK @Vikings this is it....let's see some purple pride.  Score on this drive and break the tie.  I really don't like losing to the Bears.,https://twitter.com/amyklobuchar/status/917590320283574273,19,15,283,amyklobuchar,K000367,D,MN
10/10/17 2:11,Did the administration truly roll back the EPA climate change/greenhouse gas rules the same day the wildfires are raging out west? #science,https://twitter.com/amyklobuchar/status/917573214452310016,187,1227,2658,amyklobuchar,K000367,D,MN
10/10/17 1:59,"Russian 'ecosystem of junk news' targeted the military, Oxford study found https://t.co/Jw4aWumLxO",https://twitter.com/amyklobuchar/status/917570163163222016,16,183,216,amyklobuchar,K000367,D,MN
10/10/17 0:31,Looking forward to a @vikings win tonight on @espn! #MNF #SKOL,https://twitter.com/amyklobuchar/status/917547994190438401,16,13,134,amyklobuchar,K000367,D,MN
10/10/17 0:03,There are now 32 women heading up Fortune 500 companies..in 1995 there were none. Honored to be the keynote speaker��_ https://t.co/JafyvFGjqy,https://twitter.com/amyklobuchar/status/917541037979197440,18,102,597,amyklobuchar,K000367,D,MN
10/9/17 22:09,WATCH: My bill w @MarkWarner to defend US elections from foreign meddling &amp; find out who buys online political ads https://t.co/1AZ2JxG2ol,https://twitter.com/amyklobuchar/status/917512415583096832,32,164,524,amyklobuchar,K000367,D,MN
10/9/17 20:59,"Another really bad idea! Last time I checked, science mattered! E.P.A. Announces Major Carbon Emissions Rule Repeal https://t.co/fSOBaazDpd",https://twitter.com/amyklobuchar/status/917494862215303169,69,266,674,amyklobuchar,K000367,D,MN
10/9/17 16:43,"Admin��s immigration plan is a step in the wrong direction. We need to work on bipartisan solutions, including passi��_ https://t.co/JdxEnPpR1p",https://twitter.com/amyklobuchar/status/917430428046430214,41,96,409,amyklobuchar,K000367,D,MN
10/9/17 14:19,1 more reason for my bill w/ @MarkWarner to make pol on-line ad purchases public Google uncovers Russian-bought ads  https://t.co/xvQdtDYl1q,https://twitter.com/amyklobuchar/status/917394190883016704,15,126,285,amyklobuchar,K000367,D,MN
10/9/17 12:22,"After urging Ethiopia to reconsider adoption ban, was great to meet w the Nortons &amp; celebrate arrival of two sons. https://t.co/qZjtxOKm2z",https://twitter.com/amyklobuchar/status/917364552790142977,6,26,161,amyklobuchar,K000367,D,MN
10/9/17 2:55,"Corker (who I like a lot) ""adult day care"" line should now be the go-to response for all who get drenched by POTUS early A.M. twitter storms",https://twitter.com/amyklobuchar/status/917221924689858560,169,796,3947,amyklobuchar,K000367,D,MN
10/9/17 2:25,My mom taught second grade until she was 70 &amp; her favorite unit to teach was on monarch butterflies. She would have��_ https://t.co/Mb8tUrM3CM,https://twitter.com/amyklobuchar/status/917214483726110720,44,1809,2383,amyklobuchar,K000367,D,MN
10/8/17 17:41,It's the perfect time for apple picking ��� and MN is the perfect place to do it! https://t.co/pl2p6AKRyf,https://twitter.com/amyklobuchar/status/917082497988653057,3,35,191,amyklobuchar,K000367,D,MN
10/8/17 2:57,Beautiful music tonight at the Minnesota Chinese-American Moon festival! https://t.co/DRMjRfZ6Uo,https://twitter.com/amyklobuchar/status/916859988160733186,12,27,450,amyklobuchar,K000367,D,MN
10/7/17 21:16,Read my piece published in the @washingtonpost abt Facebook political ads &amp; how to prevent Russians from buying them https://t.co/TgrSlbuvn5,https://twitter.com/amyklobuchar/status/916774327604994048,33,181,432,amyklobuchar,K000367,D,MN
10/7/17 20:01,Thnx to @ASlavitt for keeping up the daily #CHIP drum beat. There are no excuses letting it lapse. It's always had��_ https://t.co/0uvgLmwb3B,https://twitter.com/amyklobuchar/status/916755483863781383,21,552,1219,amyklobuchar,K000367,D,MN
10/7/17 18:41,It's about more than equal pay for equal work -- women need equal opportunities in STEM to do work in the 1st place. https://t.co/0tLLDfRX7m,https://twitter.com/amyklobuchar/status/916735290504548354,19,93,293,amyklobuchar,K000367,D,MN
10/6/17 3:32,Sack cartoon: Another Minnesota Lynx title https://t.co/qrEOczdQB7,https://twitter.com/amyklobuchar/status/916144075207860224,5,54,288,amyklobuchar,K000367,D,MN
10/5/17 14:26,RT if Facebook should share the ads Russians bought during 2016 election��_and listen to my @NPR interview on this! https://t.co/REAggDasMl,https://twitter.com/amyklobuchar/status/915946322905255943,39,867,616,amyklobuchar,K000367,D,MN
10/5/17 14:10,Thanks Lisa!  Good to speak this a.m. about our bill we passed last year to help those with eating disorders get tr��_ https://t.co/a1HYezM36p,https://twitter.com/amyklobuchar/status/915942228870270976,5,25,152,amyklobuchar,K000367,D,MN
10/5/17 3:50,!!!!!  Congrats to the Lynx!  Champions again! Lynx beat L.A. in Game 5 for WNBA title https://t.co/dshyz4S9Qz,https://twitter.com/amyklobuchar/status/915786283598991360,4,109,829,amyklobuchar,K000367,D,MN
10/4/17 22:18,Questioned fmr CEO of Equifax today on their major data breach. Must get to the bottom of this and stop it from happening again.,https://twitter.com/amyklobuchar/status/915702785643032576,65,105,771,amyklobuchar,K000367,D,MN
10/4/17 20:27,"My heart is with the families of Minnesotan Steve Berger, who was killed in Las Vegas, &amp; MN native Philip Aurich, who was seriously wounded.",https://twitter.com/amyklobuchar/status/915674859677655040,11,42,466,amyklobuchar,K000367,D,MN
10/4/17 1:34,Payroll isn't everything! The @Twins just tied it up with the Yankees in the third inning.  Good game!,https://twitter.com/amyklobuchar/status/915389737061507072,23,41,435,amyklobuchar,K000367,D,MN
10/3/17 23:25,Good luck to the @Twins when they take on Yankees tonight! Our Twins know how to win when no one thinks they can (See '87&amp;'91 WorldSeries)!,https://twitter.com/amyklobuchar/status/915357213534941184,16,54,578,amyklobuchar,K000367,D,MN
10/3/17 15:26,"At Judiciary #DACA hearing. Fact: More than 97% of 800,000 dreamers (who were at avg 6 1/2yrs when arrived in U.S) are working or in school",https://twitter.com/amyklobuchar/status/915236668705247232,28,177,506,amyklobuchar,K000367,D,MN
10/3/17 14:45,He ���saved my life and lost his��: These are the Las Vegas shooting victims https://t.co/96EJIWBK9Y via @pioneerpress,https://twitter.com/amyklobuchar/status/915226239471882246,10,74,156,amyklobuchar,K000367,D,MN
10/2/17 21:25,My thoughts today on the horrible tragedy in Las Vegas: https://t.co/1mh84euvSQ,https://twitter.com/amyklobuchar/status/914964530555482112,26,45,264,amyklobuchar,K000367,D,MN
10/2/17 12:54,"The victims of this terrible shooting, their families, &amp; the people of Las Vegas are in our prayers &amp; hearts today.",https://twitter.com/amyklobuchar/status/914835929860329472,73,131,1163,amyklobuchar,K000367,D,MN
10/1/17 12:44,Made this case when we passed my bill for the bridge..St. Croix bridge spawned dozens of environmental improvements https://t.co/Q2GPR09ai4,https://twitter.com/amyklobuchar/status/914471083071459329,9,38,197,amyklobuchar,K000367,D,MN
10/1/17 2:54,America��s 8-Step Program for Opioid Addiction https://t.co/xdhe8dCbKo,https://twitter.com/amyklobuchar/status/914322561835642880,27,75,179,amyklobuchar,K000367,D,MN
9/30/17 17:29,Thanks to @MNPipeTrades for a great roomful of union pipe fitter volunteers today. All there at 7 am to go out and��_ https://t.co/mTKwFcGY2S,https://twitter.com/amyklobuchar/status/914180501925179392,6,24,107,amyklobuchar,K000367,D,MN
9/30/17 17:24,"Thanks to @RHamilton542 for your support for stopping 800,000 #DACA kids from being deported &amp; for looking out for��_ https://t.co/cgN8TVRBFo",https://twitter.com/amyklobuchar/status/914179173652078592,17,76,380,amyklobuchar,K000367,D,MN
9/29/17 23:24,"Get well soon, Julia. I know you're a fighter. https://t.co/ddOcyPoqjM",https://twitter.com/amyklobuchar/status/913907375526043651,5,77,677,amyklobuchar,K000367,D,MN
9/29/17 22:12,"Whether moving people or cargo, air travel is important to keep America moving. That's why @MSPAirport is such a cr��_ https://t.co/XYe9FKIEyJ",https://twitter.com/amyklobuchar/status/913889188671627264,8,4,107,amyklobuchar,K000367,D,MN
9/29/17 20:31,Announced my bill w @RoyBlunt to give survivors of violence peace of mind that their addresses are confidential as��_ https://t.co/Y0mVhQnXQh,https://twitter.com/amyklobuchar/status/913863711403724801,5,48,214,amyklobuchar,K000367,D,MN
9/29/17 17:57,"We need tax reform for all, not one that cuts Trump family's taxes by $1.1 billion, gives 50% of benefits to top 1%��_ https://t.co/BI0MhjPgqK",https://twitter.com/amyklobuchar/status/913825073806692354,61,325,858,amyklobuchar,K000367,D,MN
9/28/17 23:12,Expanding broadband is vital -- especially in rural areas where broadband can improve telehealth services &amp; healthc��_ https://t.co/A5kv3ef4pZ,https://twitter.com/amyklobuchar/status/913541892553535488,26,151,597,amyklobuchar,K000367,D,MN
9/28/17 20:14,"RT @JerryMoran: Intro'd bipartisan #StartupAct w/ @MarkWarner, @RoyBlunt &amp; @amyklobuchar to encourage innovation and help startups grow &amp; t��_",https://twitter.com/amyklobuchar/status/913497222402199552,10,10,47,amyklobuchar,K000367,D,MN
9/28/17 19:43,Was great to talk w @3M and others about importance of investing in infrastructure so it works for people today &amp; w��_ https://t.co/LycV2NMIUl,https://twitter.com/amyklobuchar/status/913489271750787080,4,22,115,amyklobuchar,K000367,D,MN
9/28/17 17:34,The Rahmes did everything they could to bring their son home. I was happy to help &amp; nominate them as #AdoptionAngels https://t.co/7Jf5wL3aB8,https://twitter.com/amyklobuchar/status/913456964780347392,3,24,110,amyklobuchar,K000367,D,MN
9/28/17 5:10,!!!!!  Twins clinch AL wild card https://t.co/d9Mjxq76AT,https://twitter.com/amyklobuchar/status/913269630411657216,13,58,527,amyklobuchar,K000367,D,MN
9/27/17 20:45,"Great win last night, @minnesotalynx! Another wild game! Love these #WNBAFinals. https://t.co/9brxh3z54z",https://twitter.com/amyklobuchar/status/913142479095865344,7,15,210,amyklobuchar,K000367,D,MN
9/27/17 18:01,"P.R. is still largely w/o power, clean water access, food &amp; supplies. We need to help. https://t.co/edWJgAFGSg",https://twitter.com/amyklobuchar/status/913101332759945217,31,180,494,amyklobuchar,K000367,D,MN
9/26/17 18:33,Breaking: Graham/Cassidy bill pulled. Now there is an opening for bipartisan agreement to be reached to fix ACA. Let's get it done.,https://twitter.com/amyklobuchar/status/912746870073675776,702,1387,6260,amyklobuchar,K000367,D,MN
9/26/17 18:10,"ICYMI: Here's the video of my town hall/debate w/ @SenSanders, Graham &amp; Cassidy. https://t.co/nWsMYSOqe8",https://twitter.com/amyklobuchar/status/912741281805357056,21,41,171,amyklobuchar,K000367,D,MN
9/26/17 2:37,"Just left stage after CNN town hall on healthcare. #GrahamCassidy would take us back. To move forward, must work on bipartisan solutions.",https://twitter.com/amyklobuchar/status/912506419139813376,351,680,3498,amyklobuchar,K000367,D,MN
9/25/17 22:27,Time to bring back bipartisan talks on healthcare. Only way to get a bill that helps all Americans is by working to��_ https://t.co/fsNKsbAfKs,https://twitter.com/amyklobuchar/status/912443498258997248,164,1110,3557,amyklobuchar,K000367,D,MN
9/24/17 18:22,Here's a good deep dive on @SenJohnMcCain's decision on Friday to come out against #GrahamCassidy: https://t.co/WemkMSo4z9,https://twitter.com/amyklobuchar/status/912019503990616067,46,144,542,amyklobuchar,K000367,D,MN
9/24/17 16:42,"It'll be a tough game without Bradford, but I've got faith in our @vikings. Get well soon, Sam. Let's go Vikes! #skol",https://twitter.com/amyklobuchar/status/911994282768203777,31,28,408,amyklobuchar,K000367,D,MN
9/23/17 20:04,"Happy fall! Here��s a guide of where to spot the leaves changing this weekend. _�
https://t.co/0g0FdEwqAG",https://twitter.com/amyklobuchar/status/911682604176420864,9,40,191,amyklobuchar,K000367,D,MN
9/23/17 18:03,Introduced bill to extend education savings accounts to more vocational programs. Would help workers afford the skills training they need.,https://twitter.com/amyklobuchar/status/911652348652609536,21,104,691,amyklobuchar,K000367,D,MN
9/23/17 14:32,"When scams come via phone/internet, calls for help shouldn't get caught in red tape. My bill makes reporting easier. https://t.co/FLbOtI2MvB",https://twitter.com/amyklobuchar/status/911599068912250880,20,80,346,amyklobuchar,K000367,D,MN
9/22/17 22:14,Russians tried to hack into voter reg systems in 21 states -- incl. MN. I intro'd bill to protect these systems. https://t.co/GrlnxrzgCv,https://twitter.com/amyklobuchar/status/911353107203985408,123,631,1725,amyklobuchar,K000367,D,MN
9/22/17 20:59,Duck hunting season starts tomorrow. Here's a good rundown of hunting dates and regulations. Good luck out there! https://t.co/uQJoYOcA96,https://twitter.com/amyklobuchar/status/911334169241931776,24,23,77,amyklobuchar,K000367,D,MN
9/22/17 17:17,"There are nearly 100,000 Minnesotans of Finnish descent. No wonder President @niinisto is visiting #FinnFest! _�__�_�_�
https://t.co/y3G9BiQzcz",https://twitter.com/amyklobuchar/status/911278324235821056,12,42,235,amyklobuchar,K000367,D,MN
9/21/17 22:33,Want to see Target Field get ready for some football? See how they're prepping for the 87th Tommies-Johnnies game: https://t.co/yDfcwrvoMG,https://twitter.com/amyklobuchar/status/910995333567729664,17,19,110,amyklobuchar,K000367,D,MN
9/21/17 20:28,My thoughts are with rescuers &amp; people trapped under the debris of a Mexico City school following this week's quake: https://t.co/zQp8ZSbVaN,https://twitter.com/amyklobuchar/status/910964067115978752,6,48,259,amyklobuchar,K000367,D,MN
9/21/17 18:27,"Bipartisan work to fix ACA again stymied by partisan efforts to repeal. Lincoln said ""public sentiment is everything"" Make your voices heard",https://twitter.com/amyklobuchar/status/910933531135811584,137,567,1669,amyklobuchar,K000367,D,MN
